R1,,0:00:00:00,0:00:05:22,0:00:05:21
R2,,0:00:05:22,0:00:08:29,0:00:03:06
R3,,0:00:08:29,0:00:10:04,0:00:01:04
R4,,0:00:10:04,0:00:10:28,0:00:00:24
R5,,0:00:10:28,0:00:12:24,0:00:01:26
R6,,0:00:12:24,0:00:14:09,0:00:01:15
R7,,0:00:14:09,0:00:15:16,0:00:01:06
R8,,0:00:15:16,0:00:16:23,0:00:01:07
R9,,0:00:16:23,0:00:18:03,0:00:01:10
R10,,0:00:18:03,0:00:18:28,0:00:00:24
R11,,0:00:18:28,0:00:20:03,0:00:01:05
R12,,0:00:20:03,0:00:21:29,0:00:01:26
R13,,0:00:21:29,0:00:25:09,0:00:03:09
R14,,0:00:25:09,0:00:26:27,0:00:01:18
R15,,0:00:26:27,0:00:28:10,0:00:01:12
R16,,0:00:28:10,0:00:30:05,0:00:01:25
R17,,0:00:30:05,0:00:31:19,0:00:01:13
R18,,0:00:31:19,0:00:33:08,0:00:01:19
R19,,0:00:33:08,0:00:34:00,0:00:00:21
R20,,0:00:34:00,0:00:35:18,0:00:01:18
R21,,0:00:35:18,0:00:37:20,0:00:02:02
R22,,0:00:37:20,0:00:39:11,0:00:01:20
R23,,0:00:39:11,0:00:42:14,0:00:03:02
R24,,0:00:42:14,0:00:44:03,0:00:01:19
R25,,0:00:44:03,0:00:45:05,0:00:01:02
R26,,0:00:45:05,0:00:48:16,0:00:03:11
R27,,0:00:48:16,0:00:49:14,0:00:00:27
R28,,0:00:49:14,0:00:49:29,0:00:00:15
R29,,0:00:49:29,0:00:51:17,0:00:01:18
R30,,0:00:51:17,0:00:53:26,0:00:02:08
R31,,0:00:53:26,0:00:55:29,0:00:02:02
R32,,0:00:55:29,0:00:58:03,0:00:02:04
R33,,0:00:58:03,0:01:01:19,0:00:03:16
R34,,0:01:01:19,0:01:03:20,0:00:02:01
R35,,0:01:03:20,0:01:05:12,0:00:01:21
R36,,0:01:05:12,0:01:08:09,0:00:02:27
R37,,0:01:08:09,0:01:09:13,0:00:01:03
R38,,0:01:09:13,0:01:10:29,0:00:01:16
R39,,0:01:10:29,0:01:12:16,0:00:01:16
R40,,0:01:12:16,0:01:14:12,0:00:01:26
R41,,0:01:14:12,0:01:16:03,0:00:01:21
R42,,0:01:16:03,0:01:17:14,0:00:01:10
R43,,0:01:17:14,0:01:19:11,0:00:01:26
R44,,0:01:19:11,0:01:21:02,0:00:01:20
R45,,0:01:21:02,0:01:23:09,0:00:02:07
R46,,0:01:23:09,0:01:24:25,0:00:01:15
R47,,0:01:24:25,0:01:26:17,0:00:01:21
R48,,0:01:26:17,0:01:30:16,0:00:03:29
R49,,0:01:30:16,0:01:33:00,0:00:02:14
R50,,0:01:33:00,0:01:35:26,0:00:02:26
R51,,0:01:35:26,0:01:37:22,0:00:01:26
R52,,0:01:37:22,0:01:38:26,0:00:01:03
R53,,0:01:38:26,0:01:40:12,0:00:01:15
R54,,0:01:40:12,0:01:41:16,0:00:01:04
R55,,0:01:41:16,0:01:42:19,0:00:01:02
R56,,0:01:42:19,0:01:44:01,0:00:01:12
R57,,0:01:44:01,0:01:46:15,0:00:02:14
R58,,0:01:46:15,0:01:47:03,0:00:00:18
R59,,0:01:47:03,0:01:49:01,0:00:01:27
R60,,0:01:49:01,0:01:50:16,0:00:01:14
R61,,0:01:50:16,0:01:51:27,0:00:01:11
R62,,0:01:51:27,0:01:53:01,0:00:01:03
R63,,0:01:53:01,0:01:56:14,0:00:03:12
R64,,0:01:56:14,0:01:58:00,0:00:01:16
R65,,0:01:58:00,0:01:58:13,0:00:00:12
R66,,0:01:58:13,0:01:59:05,0:00:00:22
R67,,0:01:59:05,0:02:00:22,0:00:01:16
R68,,0:02:00:22,0:02:02:19,0:00:01:27
R69,,0:02:02:19,0:02:04:16,0:00:01:27
R70,,0:02:04:16,0:02:06:11,0:00:01:24
R71,,0:02:06:11,0:02:07:01,0:00:00:20
R72,,0:02:07:01,0:02:09:14,0:00:02:13
R73,,0:02:09:14,0:02:13:04,0:00:03:19
R74,,0:02:13:04,0:02:14:12,0:00:01:08
